Food_Name,VitaminC_mg,Potassium_mg,Carbohydrate_g,Calcium_mg,Zinc_mg,VitaminB6_mg,Protein_g,Cholesterol_mg,Energy_kcal,Riboflavin_mg,Thiamin_mg,Iron_mg,Folate_mcg,VitaminE_mg,Niacin_mg,VitaminD_mcg,VitaminB12_mcg,Fat_g,VitaminK_mcg,Magnesium_mg,Fiber_g,Sodium_mg,VitaminA_mcgRAE,Sugars_g,Food_Category,nutriscore_grade,diet_type,meal_type
Protein Pasta Rotini,0.0,0.0,-0.0033495247058334,0.0,0.0,0.0,-0.0033298522146986,-0.0335274774927566,-0.0038263012701946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041003500461878,0.0,0.0,-0.0181613098952382,-0.0039554008138865,0.0,-0.0745706046930408,0,a,vegan,"lunch,dinner"
"Protein Peanut, Almond, Dark Chocolate",0.0,0.0,-0.0038800179938883,0.0,0.0,0.0,-0.0030035288014088,-0.0017706302171036,-0.0035125055240499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036936495511272,0.0,0.0,0.1216727548403507,-0.0039545517470923,0.0,0.0081049572362823,0,a,vegan,"lunch,dinner"
Protein Penne,0.0,0.0,-0.0033543976910115,0.0,0.0,0.0,-0.0034068385285452667,-0.0335274774927566,-0.003855513522119833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004100455824866,0.0,0.0,0.04350829924473713,-0.0039554450705701,0.0,-0.07089239225492157,0,c,vegan,"lunch,dinner"
Protein Plenty Tamarind Almonds,0.0,0.0,-0.0044042701844368,0.0,0.0,0.0,-0.0028512445418735,-0.0335274774927566,-0.0032544085228459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034053555293121,0.0,0.0,0.1020959857773683,-0.0039533054199556,0.0,-0.0560244651251116,0,a,vegan,"lunch,dinner"
Protein Plus,0.0,0.0,-0.0041159314796351,0.0,0.0,0.0,-0.0036735795433639,-0.0335274774927566,-0.0042154079954139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040540170783961,0.0,0.0,0.1673518826539765,-0.0039538457351883,0.0,-0.0563004884638263,0,a,vegan,"lunch,dinner"
Protein Plus Mini Meal,0.0,0.0,-0.0042555679785887,0.0,0.0,0.0,-0.0041259996346028,0.1753222486280636,-0.0042189142577417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039839738125326,0.0,0.0,-0.0169577303083122,-0.0039551050163615,0.0,-0.0416829144699183,0,b,vegan,"lunch,dinner"
Protein Popcorn,0.0,0.0,-0.0032408833788679,0.0,0.0,0.0,-0.0033983398446483,-0.0335274774927566,-0.0037972461085145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041260905838499,0.0,0.0,-0.0192462906824244,-0.0039540314435349,0.0,0.2850142967913532,0,a,vegan,"lunch,dinner"
Protein Porridge,0.0,0.0,-0.004046031187562,0.0,0.0,0.0,-0.0028207876899665,-0.0335274774927566,-0.0038968003170204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004051134138178,0.0,0.0,0.2978636764071931,-0.003955517110308,0.0,-0.0688503495973904,0,a,vegan,"lunch,dinner"
Protein Porridge Caramel,0.0,0.0,-0.0037198298245541,0.0,0.0,0.0,-0.0027395694182143,-0.0335274774927566,-0.0038200253552717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040357584570145,0.0,0.0,0.0438007179009311,-0.0039552174154589,0.0,-0.0774009392455764,0,c,vegan,"lunch,dinner"
Protein Powder,0.0,0.0,-0.0042382569907631,0.0,0.0,0.0,-0.0021507369480114,-0.0335274774927566,-0.0040407806626843994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040691525145414,0.0,0.0,-0.0010083312876727497,-0.0039547563464604,0.0,-0.00845644308660275,0,a,vegan,"lunch,dinner"
Protein Powder Chocolate,0.0,0.0,-0.0045353332320739,0.0,0.0,0.0,0.0003702285882949,-0.0335274774927566,-0.0535866609844001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041029158232538,0.0,0.0,0.0004982196434335,-0.0039538718649024,0.0,-0.0857429779267332,0,a,vegan,"lunch,dinner"
Protein Powder Drink Mix,0.0,0.0,-0.00439920262663235,0.0,0.0,0.0,4.3272024897123224e-05,0.32382429844426097,-0.0288807733555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040810336427115,0.0,0.0,-0.0192462906824244,-0.00395342484787445,0.0,-0.056561121001806894,0,a,vegan,"lunch,dinner"
Protein Powder Vanilla,0.0,0.0,-0.0044733249084606,0.0,0.0,0.0,0.0005825198908728,-0.0335274774927566,-0.052656186192801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041214406802722,0.0,0.0,-0.0288368137621489,-0.003954516888045,0.0,-0.0695970966083649,0,a,vegan,"lunch,dinner"
